1000 279
772473 801047 9186
80 50 33
970415 486337 7439
420887 420863 51
282208 184640 4056
690374 690359 64
519554 175281 2756
16 999999936 116
321618 268560 5675
999999974 48 171
586843 655713 6325
28 85 29
716987 821224 9842
420802 420719 74
934709 731632 2454
690307 690407 60
686306 138059 7272
92 999999987 66
52994 403713 9447
999999985 81 198
18462 526345 4929
29 39 31
16048 683592 6150
420703 420735 191
718718 969063 2396
690348 690280 60
295377 174319 8292
14 999999966 198
821247 857097 7442
999999949 30 189
13828 771383 4123
48 76 39
444074 49691 6229
420733 420949 178
915873 238304 7685
690407 690377 28
636671 505383 949
13 999999913 58
921234 957402 8244
999999939 100 99
713788 680895 1963
17 36 32
960844 911888 2368
420916 420691 173
185987 250493 9215
690371 690411 60
191965 203504 6858
25 999999999 84
815691 481852 5466
999999972 97 56
505972 916906 3342
7 38 42
3407 818966 5693
420865 420744 169
919221 656458 4117
690420 690406 77
132672 577713 7696
59 999999907 125
303917 486142 9575
999999991 40 193
54478 59107 7953
32 83 33
391260 742783 7371
420945 420773 156
798920 529383 2619
690263 690292 25
777434 908968 654
1 999999991 163
647663 826784 4427
999999979 56 106
772688 58688 9569
49 30 31
615521 459988 4191
420752 420894 157
434176 818701 663
690353 690271 95
769591 60049 9345
34 999999962 98
850724 428614 1730
999999951 13 192
431474 807167 8080
13 82 32
637763 400326 5308
420926 420848 50
907531 490870 3423
690369 690393 78
147204 865203 2163
10 999999927 75
44325 818870 2162
999999997 24 172
270541 66278 7295
15 49 39
499022 467561 9804
420801 420785 110
324309 948888 3284
690353 690265 42
69311 674118 1358
94 999999950 72
741784 970062 2791
999999981 13 185
133718 618098 8803
76 42 40
666424 332849 9836
420768 420768 146
173527 841109 7464
690366 690303 51
916815 961629 5819
26 999999993 78
94198 411686 4891
999999980 46 104
158153 610261 2899
34 5 26
457663 319953 6851
420896 420820 59
793959 311603 9710
690419 690267 71
734585 636566 6634
42 999999979 182
291030 813407 5514
1000000000 36 180
623389 176748 3797
62 29 48
641614 463771 4126
420779 420698 178
884584 198029 5759
690386 690368 35
373765 727713 9638
83 999999936 158
165680 868725 5370
999999936 41 63
554190 902011 6453
79 30 30
819677 56699 110
420760 420905 67
525222 699900 5557
690367 690388 92
301414 973202 8192
11 999999963 59
604902 368064 3524
999999902 66 182
990696 393927 9791
14 87 25
863245 757771 120
420872 420918 191
641934 427412 6467
690336 690288 90
113036 784333 2033
75 999999909 80
270550 437382 4653
999999925 14 173
506959 653153 4331
100 20 20
496280 283444 5047
420794 420701 150
113586 824313 2887
690394 690294 70
678833 981508 2915
46 999999989 91
726574 218253 7627
999999948 67 143
648551 879266 6206
96 15 37
844897 160872 6410
420879 420698 189
497830 944335 5069
690342 690376 42
745436 248599 3620
78 999999994 72
996309 50439 7085
999999915 54 160
543596 822171 4660
100 84 25
661469 692343 2810
420745 420728 83
602779 907484 2179
690373 690240 83
762609 127756 7101
27 999999988 59
141116 3925 9976
999999949 88 186
397011 595143 1841
11 11 23
4706 678465 5496
420908 420941 117
72911 850960 2869
690402 690241 45
532463 964160 3828
20 999999967 187
851351 578749 5229
999999959 92 173
477748 231928 6828
89 57 30
344592 656346 7154
420879 420752 54
274996 309784 7059
690377 690411 79
796429 39821 4175
68 999999907 61
44641 59512 3729
999999942 61 139
444701 93423 6663
41 57 26
35059 209162 9446
420959 420817 188
350748 294931 5402
690284 690250 54
83070 463924 282
73 999999949 139
743824 832417 405
999999961 61 124
387867 548861 5521
16 98 20
253220 973504 5871
420793 420699 54
568219 439582 5514
690380 690304 64
574875 559789 6713
76 999999905 95
956557 319062 435
999999925 42 92
720145 76426 9804
100 29 28
211003 365682 2398
420947 420787 95
768688 488519 9203
690390 690377 74
246797 381454 4072
50 999999907 58
965364 936767 472
999999974 46 173
540774 194163 6167
51 6 48
526902 835008 9787
420722 420950 144
253483 268032 71
690359 690365 99
468959 418227 1993
72 999999993 175
11470 747024 7222
999999990 17 80
818868 65435 8864
48 86 33
820508 883285 746
420950 420809 191
329957 548566 7304
690408 690409 78
50736 374851 3990
95 999999950 177
764961 368413 5788
999999948 95 93
72589 276612 585
72 65 49
524272 446055 9751
420908 420949 154
293785 466290 8800
690325 690303 41
349938 430097 3892
75 999999975 167
518107 859515 7952
999999916 22 159
777084 667075 2739
44 51 47
703657 716171 9042
420895 420895 70
225677 549414 8623
690316 690335 89
82099 909817 2736
23 999999917 106
756287 535342 1263
999999985 76 98
303440 647432 9012
86 29 44
39738 647986 4127
420700 420715 174
511043 610133 9159
690315 690373 56
243238 349674 2601
38 999999934 140
984916 413691 4717
999999977 42 180
575892 385700 7240
74 27 48
992870 911077 8437
420917 420766 145
801914 197995 2362
690278 690268 92
787514 661011 7745
15 999999996 84
952692 370539 9742
999999959 94 52
637958 831045 9768
71 19 21
644951 670303 1559
420804 420858 97
924528 418194 9360
690252 690315 84
904496 489512 8489
26 999999930 200
611938 849740 2301
1000000000 33 161
216609 664540 3325
4 36 50
644768 815930 9297
420879 420872 125
86079 47099 3145
690318 690412 76
277416 202625 604
33 999999929 66
221683 538066 2949
999999912 43 58
767325 356384 2276
65 86 33
475395 204885 5215
420765 420859 107
242471 586550 4263
690273 690369 85
724949 970156 732
43 999999946 90
126233 888408 7553
999999905 11 106
104484 948233 2541
41 79 47
280663 514533 2876
420720 420959 164
519471 697683 3603
690386 690387 30
37179 254381 3485
87 999999972 191
251191 40114 7895
999999919 46 75
39909 890591 1952
20 69 50
307420 84570 6984
420793 420694 125
2735 290787 8318
690409 690404 51
835568 903722 3533
99 999999981 162
653590 135376 3949
999999900 58 114
300782 413368 7332
17 49 39
258130 626080 9839
420756 420854 83
879269 702056 2752
690281 690374 58
675995 444907 3673
70 999999955 106
634995 686692 4626
999999910 50 198
576748 999371 5687
50 85 31
914872 170780 915
420692 420892 119
964653 767033 5908
690363 690298 71
286768 52931 422
49 999999947 122
425538 671732 519
999999963 31 90
492204 421100 411
44 85 34
613688 339174 3841
420903 420939 196
879469 387542 2008
690415 690249 27
307059 562900 9849
28 999999975 109
903304 375367 7296
999999930 66 173
373957 19305 7316
28 68 22
332819 118321 4075
420924 420793 134
109355 334429 9204
690314 690245 78
647011 995317 7282
12 999999961 182
176081 884967 3266
999999966 82 153
593918 753409 5136
66 41 40
309926 36435 5395
420712 420945 196
622145 389024 8839
690373 690250 30
254172 872208 8354
79 999999935 148
342520 608235 4846
999999920 58 71
624920 522280 5330
15 65 25
629785 36607 140
420734 420867 126
415735 368051 4921
690306 690342 55
513450 891058 2710
53 999999920 162
895875 576850 7929
999999992 23 168
603221 685440 2999
30 44 33
33033 8684 1529
420892 420771 73
955449 522634 9921
690293 690279 46
41985 273491 6141
72 999999973 179
668560 464845 3432
999999924 42 105
364237 643140 7581
53 12 30
955147 452882 6770
420921 420893 147
291177 687989 4208
690286 690420 79
581170 514619 3122
9 999999946 132
670135 303368 9830
999999970 74 162
99450 286361 2761
58 14 31
907444 399819 6891
420834 420912 194
960662 781386 1591
690302 690397 34
473210 128837 875
1 999999931 71
114467 301 3042
999999917 65 161
975181 57983 3658
92 60 26
662877 72923 2392
420766 420722 115
298 451275 9798
690266 690314 30
944394 106864 9630
96 999999957 141
290627 242016 5345
999999914 98 56
117091 735790 8760
90 67 24
444062 41074 4046
420793 420761 95
132189 594148 6631
690317 690393 45
555764 779985 7900
3 999999937 103
623116 549586 670
999999959 95 77
588068 803691 388
10 65 47
110956 222179 5914
420956 420696 165
268898 650230 9981
690241 690253 99
277215 701184 7845
44 999999964 55
771939 655040 1328
999999909 86 67
282950 753431 7149
6 80 45
85538 108914 2246
420950 420725 133
118563 640916 1726
690371 690420 88
376544 262864 6785
17 999999915 141
865881 479678 2002
999999932 100 120
644875 552505 7133
20 25 35
965272 474821 4988
420915 420715 77
396749 79316 3040
690419 690309 87
152694 477152 9582
78 999999902 197
553535 674026 6609
999999909 9 81
117918 942924 6020
66 63 31
187015 624953 5865
420861 420869 148
929820 192707 6861
690317 690247 66
275456 240264 4881
50 999999999 101
691711 526626 3790
999999947 87 105
850039 875321 3463
9 13 43
712688 647918 570
420880 420828 155
152073 210694 7230
690411 690311 100
95913 744269 2303
95 999999915 176
424545 631442 1976
999999982 20 93
180253 373175 8935
97 93 20
632467 120466 9039
420762 420899 116
645780 268081 2339
690253 690383 73
14382 710515 5830
27 999999902 69
241670 418163 7573
999999935 41 76
939430 984614 1046
57 36 45
505329 100623 6266
420741 420802 145
383057 112742 5393
690330 690256 46
775441 777485 7221
15 999999930 157
21217 30474 6131
999999927 89 101
394651 222060 6797
16 32 33
550303 424532 1216
420851 420794 63
6801 722678 8781
690318 690319 75
324728 724358 1566
49 999999908 92
135161 33574 4962
999999993 8 105
19916 206589 7645
70 31 40
812036 164138 8159
420851 420829 176
611288 599208 5970
690291 690346 75
926974 219024 6245
30 999999951 69
467731 533749 1891
999999961 12 105
7289 324701 7173
54 6 49
568961 370148 6727
420945 420925 93
521624 416455 8964
690335 690406 47
596639 476099 1716
12 999999969 173
327552 652440 5357
999999921 28 88
462791 4318 4479
72 46 29
495228 328726 5118
420852 420703 169
542590 61976 6611
690277 690359 87
104469 6313 2087
64 999999929 161
719319 221897 8659
999999969 48 145
793216 252058 1978
94 53 49
644795 271222 5649
420715 420938 50
717886 714017 1151
690318 690350 63
392940 264532 9161
63 999999927 117
246414 767607 7037
999999978 7 125
2703 675202 1089
24 31 24
649540 761802 9435
420724 420855 80
47589 835366 2002
690389 690395 37
181673 875893 134
70 999999998 115
94140 285043 3323
999999986 91 53
588839 603653 8097
97 85 27
322477 592146 6383
420903 420714 198
259516 166205 5283
690341 690342 49
233622 260663 2228
11 999999913 91
652101 708443 5280
999999983 15 170
474243 834718 1376
5 32 42
65429 314765 645
420785 420913 89
990803 650827 9276
690297 690329 73
771145 543136 4658
15 999999924 127
595868 755712 3184
999999995 59 55
442049 217923 2442
89 45 22
601469 451184 1041
420726 420735 177
890870 61214 7167
690243 690301 84
462286 506620 214
13 999999918 65
435894 248128 290
999999992 38 109
601890 723964 6287
19 28 32
423914 193268 9560
420778 420703 158
398155 635278 7152
690351 690281 45
261631 650143 8622
